how to ;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer:innen;Bevölkerung mit Migrations-hintergrund;Haushalte;Personen je Haushalt;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Fläche in km²;Bevölkerungs-dichte;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2021);Beschäftigten-quote in % (Dez 2021);Arbeitslose (Dez 2021);Arbeitslosenanteil in % (Dez 2021);Jüngere Arbeitslose (Dez 2021);Arbeitslosenanteil Jüngerer in % (Dez 2021);Ältere Arbeitslose (Dez 2021);Arbeitslosenanteil Älterer in % (Dez 2021);Leistungs-empfänger:innen nach SGB II (Dez 2021);Anteil der Leistungs-empfänger:innen nach SGB II in % (Dez 2021);Sozialwohnungen (Jan 2022);Sozialwohnungs-anteil in % (Jan 2022)
Hamburg-Altstadt;2.358.00;297;12.6;257;10.9;519;1.046.00;1.507.00;1.6;192;12.7;1.3;1.813.00;1.240.00;67.6;98;5.3;.    ;.    ;14;5.7;193;8.2;176;12.4
HafenCity;6.302.00;1.187.00;18.8;598;9.5;884;2.429.00;2.892.00;2.2;755;26.1;2.4;2.598.00;2.811.00;61.1;144;3.1;.    ;.    ;14;2.7;309;4.9;799;24.9
Neustadt;12.611.00;1.414.00;11.2;1.894.00;15;2.477.00;4.602.00;8.620.00;1.5;968;11.2;2.3;5.575.00;6.079.00;64;494;5.2;28;2.9;104;6.5;911;7.2;967;12.6
St. Pauli;21.803.00;2.849.00;13.1;2.245.00;10.3;4.535.00;8.045.00;14.593.00;1.5;1.856.00;12.7;2.2;9.723.00;9.772.00;57;1.330.00;7.8;65;3.4;282;10.7;2.708.00;12.4;1.485.00;11.7
St. Georg;11.467.00;1.189.00;10.4;1.602.00;14;2.689.00;4.570.00;7.353.00;1.5;758;10.3;1.8;6.291.00;5.303.00;60.1;489;5.5;33;2.8;103;7;841;7.3;852;13.2
Hammerbrook;5.259.00;674;12.8;172;3.3;1.789.00;2.968.00;2.663.00;1.7;340;12.8;2.5;2.107.00;2.735.00;61.2;277;6.2;26;3.2;31;11.6;668;12.7;669;25.3
Borgfelde;8.276.00;1.058.00;12.8;888;10.7;2.961.00;4.254.00;4.310.00;1.5;431;10;0.8;10.070.00;3.815.00;59;416;6.4;44;3.4;64;8.7;1.282.00;15.5;279;6.3
Hamm;38.044.00;4.473.00;11.8;5.104.00;13.4;7.212.00;14.374.00;25.757.00;1.5;2.923.00;11.3;3.9;9.783.00;19.867.00;68.4;1.541.00;5.3;124;3.2;284;6.7;3.562.00;9.4;1.435.00;6.1
Horn;37.627.00;5.993.00;15.9;5.652.00;15;10.366.00;20.566.00;22.200.00;1.7;3.593.00;16.2;5.9;6.380.00;16.262.00;60.4;1.977.00;7.3;141;2.9;364;8.1;5.814.00;15.5;2.190.00;11.2
Billstedt;70.790.00;13.932.00;19.7;12.955.00;18.3;19.613.00;43.289.00;34.924.00;2;7.642.00;21.9;16.9;4.183.00;26.605.00;57.5;3.895.00;8.4;372;4.4;658;7.1;13.529.00;19.1;5.282.00;16.4
Billbrook;1.664.00;545;32.8;88;5.3;1.262.00;1.416.00;347;1.5;31;8.9;6.3;265;623;56.2;195;17.6;20;7.7;23;18.3;880;52.9;0;0
Rothenburgsort;8.945.00;1.563.00;17.5;1.331.00;14.9;2.576.00;5.181.00;5.048.00;1.8;896;17.7;7.2;1.244.00;3.780.00;60.1;539;8.6;38;4;92;8.3;1.517.00;17;918;19.5
Veddel;4.263.00;847;19.9;401;9.4;1.981.00;3.228.00;2.276.00;1.9;481;21.1;4.4;975;1.800.00;56.7;333;10.5;33;5.4;30;8.3;1.021.00;24;530;26.2
Wilhelmsburg;52.683.00;10.874.00;20.6;7.152.00;13.6;16.892.00;32.229.00;25.857.00;2;5.897.00;22.8;35.4;1.489.00;20.428.00;56.1;3.456.00;9.5;267;4.1;572;9.1;9.778.00;18.6;4.979.00;21.7
Kleiner Grasbrook;1.071.00;.    ;.    ;.    ;.    ;323;471;863;1.3;40;4.6;11.9;90;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;156;14.6;0;0
Waltershof;11.570.00;1.916.00;16.6;2.341.00;20.2;2.195.00;3.828.00;6.253.00;1.9;1.138.00;18.2;29.4;393;4.838.00;63.8;428;5.6;31;2.8;89;4.7;1.136.00;9.8;575;9.9
Altona-Altstadt;29.151.00;4.433.00;15.2;3.818.00;13.1;5.731.00;11.423.00;17.975.00;1.6;2.854.00;15.9;2.7;10.726.00;12.878.00;59.8;1.632.00;7.6;76;2.9;348;9.3;3.388.00;11.6;2.037.00;12.3
Sternschanze;7.867.00;1.086.00;13.8;834;10.6;1.429.00;2.785.00;5.175.00;1.5;729;14.1;0.5;14.344.00;3.634.00;59.6;346;5.7;17;2.2;65;8.1;743;9.4;401;9.2
Altona-Nord;25.942.00;4.348.00;16.8;2.618.00;10.1;4.831.00;9.642.00;15.205.00;1.7;2.746.00;18.1;2.2;11.697.00;11.915.00;61.2;1.189.00;6.1;70;2.7;225;7.8;2.391.00;9.2;1.679.00;11.8
Ottensen;34.904.00;5.353.00;15.3;5.210.00;14.9;4.456.00;9.579.00;21.413.00;1.7;3.520.00;16.4;2.8;12.487.00;15.447.00;61.4;1.188.00;4.7;37;1.2;289;6.1;1.946.00;5.6;600;3
Bahrenfeld;29.435.00;5.036.00;17.1;3.932.00;13.4;5.703.00;10.144.00;16.477.00;1.7;2.883.00;17.5;10.5;2.792.00;13.264.00;62.6;1.246.00;5.9;57;2;251;6.8;2.651.00;9;425;2.9
Groß Flottbek;11.079.00;2.230.00;20.1;2.302.00;20.8;1.487.00;2.766.00;5.309.00;2.1;1.298.00;24.4;2.4;4.673.00;3.618.00;52;119;1.7;.    ;.    ;34;2.3;113;1;36;0.7
Othmarschen;16.365.00;3.399.00;20.8;3.325.00;20.3;2.310.00;4.638.00;7.549.00;2.1;1.927.00;25.5;5.9;2.752.00;5.554.00;55;253;2.5;.    ;.    ;48;2.5;585;3.6;340;4.4
Lurup;36.651.00;7.494.00;20.4;6.628.00;18.1;8.286.00;18.819.00;17.707.00;2;4.217.00;23.8;6.3;5.825.00;13.958.00;58.8;1.827.00;7.7;152;3.9;298;6;5.740.00;15.7;2.163.00;12.9
Osdorf;26.128.00;5.315.00;20.3;5.730.00;21.9;4.793.00;11.008.00;13.184.00;2;3.056.00;23.2;7.3;3.603.00;9.142.00;57.1;971;6.1;86;3.1;177;5.2;3.101.00;11.9;933;7.3
Nienstedten;7.081.00;1.366.00;19.3;1.838.00;26;684;1.426.00;3.478.00;2.1;814;23.4;4.4;1.617.00;1.989.00;47.7;62;1.5;.    ;.    ;25;2.3;52;0.7;8;0.2
Blankenese;13.656.00;2.545.00;18.6;3.725.00;27.3;1.307.00;2.753.00;6.934.00;2;1.463.00;21.1;7.7;1.765.00;3.918.00;49.7;167;2.1;.    ;.    ;61;3.1;256;1.9;28;0.4
Iserbrook;11.342.00;2.095.00;18.5;2.838.00;25;1.128.00;2.859.00;5.656.00;2;1.254.00;22.2;2.7;4.248.00;4.103.00;60.6;247;3.6;11;1.1;66;3.9;590;5.2;183;3.1
Sülldorf;9.399.00;1.808.00;19.2;1.968.00;20.9;1.273.00;2.424.00;4.511.00;2;986;21.9;5.7;1.639.00;3.333.00;56.1;279;4.7;18;1.9;61;4.2;699;7.4;218;4.8
Rissen;16.011.00;3.037.00;19;4.636.00;29;1.761.00;3.495.00;7.963.00;2;1.688.00;21.2;16.7;959;4.858.00;54.8;329;3.7;23;1.6;74;3.4;933;5.8;115;1.4
Eimsbüttel;57.183.00;7.390.00;12.9;7.388.00;12.9;6.923.00;14.084.00;38.297.00;1.5;4.988.00;13;3.2;17.728.00;28.603.00;65.9;1.756.00;4;74;1.5;350;5.3;2.373.00;4.1;577;1.7
Rotherbaum;17.103.00;2.334.00;13.6;2.735.00;16;2.788.00;5.199.00;10.872.00;1.6;1.505.00;13.8;2.7;6.253.00;6.886.00;55.6;397;3.2;.    ;.    ;102;5;380;2.2;68;0.7
Harvestehude;17.709.00;2.681.00;15.1;3.723.00;21;2.386.00;4.956.00;10.635.00;1.7;1.651.00;15.5;2.1;8.636.00;6.351.00;54.2;413;3.5;16;1.1;97;3.9;554;3.1;43;0.4
Hoheluft-West;13.323.00;1.634.00;12.3;1.869.00;14;1.496.00;3.005.00;8.799.00;1.5;1.147.00;13;0.7;18.517.00;6.744.00;67.3;339;3.4;.    ;.    ;69;4.7;352;2.6;12;0.1
Lokstedt;30.678.00;5.283.00;17.2;5.883.00;19.2;4.798.00;9.835.00;16.343.00;1.8;3.161.00;19.3;4.9;6.266.00;12.822.00;63.6;870;4.3;54;1.8;185;5.3;1.826.00;6;701;4.4
Niendorf;41.205.00;6.545.00;15.9;10.592.00;25.7;4.216.00;9.751.00;22.155.00;1.9;4.076.00;18.4;12.4;3.318.00;16.196.00;64.6;859;3.4;55;1.6;240;4;1.416.00;3.4;246;1.2
Schnelsen;30.122.00;5.780.00;19.2;6.096.00;20.2;4.624.00;10.509.00;14.559.00;2;3.332.00;22.9;9;3.365.00;12.035.00;62.8;1.077.00;5.6;92;2.9;224;5.3;2.840.00;9.4;1.887.00;13.3
Eidelstedt;35.686.00;6.526.00;18.3;7.168.00;20.1;7.535.00;15.206.00;18.230.00;1.9;3.818.00;20.9;8.7;4.091.00;14.112.00;61.7;1.592.00;7;146;4.1;286;6.4;4.474.00;12.5;1.920.00;11.6
Stellingen;26.955.00;4.101.00;15.2;4.929.00;18.3;5.386.00;9.837.00;14.997.00;1.7;2.430.00;16.2;6.1;4.427.00;11.738.00;63.6;1.033.00;5.6;64;2.4;220;6.9;2.111.00;7.8;433;2.9
Hoheluft-Ost;9.722.00;1.229.00;12.6;1.634.00;16.8;1.003.00;2.263.00;6.303.00;1.6;863;13.7;0.6;17.192.00;4.590.00;65.5;214;3.1;.    ;.    ;54;4.4;275;2.8;154;2.5
Eppendorf;24.538.00;3.452.00;14.1;4.577.00;18.7;2.284.00;5.327.00;15.194.00;1.6;2.233.00;14.7;2.7;9.193.00;11.050.00;65.1;416;2.4;.    ;.    ;109;3.9;474;1.9;611;4.2
Groß Borstel;10.224.00;1.913.00;18.7;1.850.00;18.1;1.725.00;3.135.00;5.116.00;1.9;1.034.00;20.2;4;2.565.00;3.943.00;58.7;324;4.8;16;1.6;71;5.5;695;6.8;450;8.8
Alsterdorf;14.975.00;2.412.00;16.1;2.917.00;19.5;1.971.00;4.216.00;8.030.00;1.8;1.447.00;18;3.2;4.746.00;6.043.00;60.5;334;3.3;22;1.4;85;4.5;873;5.8;720;9
Winterhude;56.878.00;7.556.00;13.3;8.226.00;14.5;6.906.00;14.806.00;35.913.00;1.6;5.010.00;14;7.6;7.499.00;27.744.00;66;1.394.00;3.3;61;1.2;279;4.3;2.316.00;4.1;1.326.00;3.9
Uhlenhorst;18.569.00;2.555.00;13.8;3.398.00;18.3;2.351.00;5.134.00;11.506.00;1.6;1.618.00;14.1;2.2;8.516.00;8.295.00;64.2;397;3.1;16;1.1;86;3.9;640;3.4;321;2.9
Hohenfelde;9.905.00;1.255.00;12.7;1.501.00;15.2;2.014.00;3.852.00;6.258.00;1.5;718;11.5;1.2;8.578.00;4.679.00;64;379;5.2;22;2.1;70;6.7;678;6.8;110;1.9
Barmbek-Süd;35.709.00;3.886.00;10.9;4.976.00;13.9;5.261.00;10.609.00;24.249.00;1.5;2.619.00;10.8;3.1;11.550.00;19.056.00;69.8;1.247.00;4.6;64;1.9;248;6.3;2.240.00;6.3;996;4.3
Dulsberg;16.839.00;1.941.00;11.5;2.193.00;13;3.957.00;7.664.00;11.643.00;1.5;1.216.00;10.4;1.2;13.737.00;8.396.00;64.4;1.163.00;8.9;63;3.2;209;10.2;2.681.00;15.9;791;7.3
Barmbek-Nord;41.964.00;4.519.00;10.8;5.461.00;13;6.132.00;12.634.00;29.077.00;1.5;3.145.00;10.8;3.9;10.896.00;22.666.00;69.8;1.680.00;5.2;106;2.6;319;6.7;3.174.00;7.6;1.230.00;4.4
Ohlsdorf;16.949.00;2.865.00;16.9;2.798.00;16.5;2.207.00;4.526.00;9.221.00;1.8;1.741.00;18.9;7.2;2.367.00;7.222.00;61.7;461;3.9;21;1.4;89;4.1;963;5.7;733;8
Fuhlsbüttel;13.515.00;2.347.00;17.4;2.518.00;18.6;2.437.00;4.023.00;7.289.00;1.7;1.224.00;16.8;7.8;1.738.00;5.763.00;63.9;478;5.3;35;2.6;83;4.8;1.252.00;9.3;250;3.6
Langenhorn;46.142.00;8.283.00;18;8.686.00;18.8;7.356.00;15.511.00;23.558.00;1.9;4.855.00;20.6;13.4;3.452.00;19.147.00;62.9;1.506.00;4.9;114;2.5;325;4.9;4.046.00;8.8;2.346.00;10.4
Eilbek;22.235.00;2.669.00;12;3.191.00;14.4;3.717.00;7.633.00;14.587.00;1.5;1.760.00;12.1;1.8;12.696.00;11.580.00;69.4;752;4.5;43;2.1;153;6.2;1.482.00;6.7;466;3.4
Wandsbek;37.340.00;5.299.00;14.2;6.428.00;17.2;7.179.00;14.565.00;22.094.00;1.6;3.135.00;14.2;5.9;6.282.00;17.284.00;65.7;1.398.00;5.3;102;2.7;246;5.6;3.548.00;9.5;1.312.00;6.2
Marienthal;13.472.00;2.181.00;16.2;2.644.00;19.6;1.798.00;4.142.00;7.154.00;1.8;1.341.00;18.7;3.2;4.193.00;5.585.00;62.4;291;3.3;19;1.3;72;4.3;614;4.6;93;1.3
Jenfeld;28.105.00;5.629.00;20;4.859.00;17.3;8.016.00;17.067.00;13.408.00;2;2.896.00;21.6;5;5.631.00;9.910.00;53.6;1.575.00;8.5;128;3.5;283;8;5.294.00;18.8;1.457.00;12
Tonndorf;15.203.00;2.630.00;17.3;2.636.00;17.3;3.007.00;6.608.00;8.418.00;1.8;1.602.00;19;3.9;3.858.00;6.553.00;63.3;625;6;58;3.4;123;6.2;1.621.00;10.7;790;9.9
Farmsen-Berne;35.843.00;6.572.00;18.3;7.107.00;19.8;4.964.00;12.410.00;18.461.00;1.9;3.916.00;21.2;8.2;4.357.00;14.832.00;64;1.254.00;5.4;100;2.8;262;5.2;3.552.00;9.9;1.540.00;8.8
Bramfeld;52.573.00;8.039.00;15.3;11.247.00;21.4;7.472.00;17.348.00;29.982.00;1.8;5.118.00;17.1;10.1;5.223.00;22.242.00;64.4;2.133.00;6.2;121;2.5;513;6.4;5.037.00;9.6;1.778.00;6.1
Steilshoop;19.662.00;3.997.00;20.3;3.847.00;19.6;5.329.00;11.096.00;9.800.00;2;2.183.00;22.3;2.5;7.870.00;7.017.00;56.1;1.326.00;10.6;106;4.7;253;10.1;4.266.00;21.7;2.792.00;31.3
Wellingsbüttel;11.014.00;2.050.00;18.6;2.997.00;27.2;783;2.181.00;5.327.00;2.1;1.208.00;22.7;4.1;2.695.00;3.575.00;56.6;149;2.4;.    ;.    ;63;4.2;198;1.8;22;0.4
Sasel;24.223.00;4.689.00;19.4;6.264.00;25.9;1.553.00;4.575.00;11.357.00;2.2;2.785.00;24.5;8.4;2.896.00;8.332.00;59.2;316;2.2;20;0.9;106;2.8;418;1.7;147;1.3
Poppenbüttel;24.190.00;4.153.00;17.2;7.667.00;31.7;2.213.00;5.980.00;11.518.00;2;2.417.00;21;8.1;2.985.00;7.843.00;60.1;446;3.4;30;1.5;115;3.6;1.004.00;4.2;437;4
Hummelsbüttel;18.505.00;3.390.00;18.3;4.520.00;24.4;3.191.00;7.150.00;8.920.00;2;1.940.00;21.7;9.1;2.037.00;6.779.00;60.8;680;6.1;48;2.8;151;6;1.888.00;10.2;1.584.00;17.9
Lemsahl-Mellingstedt;7.003.00;1.455.00;20.8;1.516.00;21.6;397;1.287.00;3.072.00;2.3;857;27.9;8;875;2.359.00;55.6;70;1.6;.    ;.    ;26;2.1;143;2;40;1.3
Duvenstedt;6.010.00;1.257.00;20.9;1.187.00;19.8;489;1.021.00;2.604.00;2.2;682;26.2;6.8;886;2.168.00;56.7;99;2.6;.    ;.    ;27;2.4;279;4.6;82;3.1
Wohldorf-Ohlstedt;4.829.00;1.006.00;20.8;1.039.00;21.5;272;785;2.154.00;2.3;584;27.1;17.3;279;1.521.00;51.6;70;2.4;.    ;.    ;23;3.1;94;1.9;28;1.3
Bergstedt;10.738.00;2.297.00;21.4;2.318.00;21.6;978;1.995.00;4.707.00;2.2;1.226.00;26;7;1.526.00;3.712.00;57.2;209;3.2;16;1.5;51;3.1;524;4.9;187;4
Volksdorf;20.723.00;4.015.00;19.4;5.658.00;27.3;1.574.00;3.755.00;9.516.00;2.1;2.230.00;23.4;11.6;1.790.00;6.391.00;54;332;2.8;24;1.1;103;3.1;736;3.6;359;3.9
Rahlstedt;92.369.00;16.712.00;18.1;20.036.00;21.7;14.170.00;32.955.00;47.237.00;1.9;9.828.00;20.8;26.6;3.477.00;36.131.00;62;3.187.00;5.5;275;3;639;4.9;9.121.00;9.9;3.385.00;7.5
Lohbrügge;40.523.00;6.536.00;16.1;9.236.00;22.8;5.920.00;17.327.00;21.534.00;1.9;4.005.00;18.6;13;3.106.00;16.731.00;64.9;1.275.00;4.9;80;2;312;5.4;3.751.00;9.3;1.421.00;6.8
Bergedorf;36.178.00;6.422.00;17.8;7.342.00;20.3;5.710.00;12.700.00;18.640.00;1.9;3.634.00;19.5;10.4;3.492.00;14.709.00;62.9;1.237.00;5.3;92;2.5;256;5.6;3.434.00;9.5;697;3.9
Curslack;4.034.00;837;20.7;639;15.8;750;1.147.00;1.662.00;2.1;392;23.6;10.6;382;1.640.00;60.9;106;3.9;.    ;.    ;23;3.6;307;7.6;5;0.3
Altengamme;2.319.00;449;19.4;454;19.6;158;292;1.052.00;2.2;268;25.5;15.6;149;975;65.9;35;2.4;.    ;.    ;10;2.8;55;2.4;4;0.4
Neuengamme;3.710.00;625;16.8;797;21.5;173;424;1.750.00;2.1;384;21.9;18.6;199;1.502.00;62.8;65;2.7;.    ;.    ;18;2.8;145;3.9;20;1.2
Kirchwerder;10.178.00;1.860.00;18.3;2.051.00;20.2;755;1.375.00;4.626.00;2.2;1.078.00;23.3;32.3;315;4.419.00;67.1;157;2.4;10;1.1;46;2.7;330;3.2;18;0.4
Ochsenwerder;3.007.00;614;20.4;516;17.2;195;514;1.392.00;2.2;359;25.8;14.1;213;1.297.00;66.5;45;2.3;.    ;.    ;13;2.8;74;2.5;21;1.7
Reitbrook;524;80;15.3;127;24.2;28;54;256;2.1;51;19.9;6.9;76;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;10;1.9;0;0
Allermöhe;1.441.00;213;14.8;291;20.2;214;382;727;2;126;17.3;8.6;167;611;62.7;28;2.9;.    ;.    ;10;3.8;42;2.9;0;0
Billwerder;3.184.00;630;19.8;282;8.9;1.592.00;1.969.00;752;2;137;18.2;9.5;336;1.020.00;43.3;169;7.2;19;4;16;5.7;699;22;776;82.2
Moorfleet;1.183.00;187;15.8;209;17.7;152;290;584;1.9;108;18.5;4.4;271;467;56.3;46;5.5;.    ;.    ;11;6;101;8.5;0;0
Tatenberg;575;100;17.4;113;19.7;38;74;263;2.2;68;25.9;3.1;188;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;10;1.7;0;0
Spadenland;525;75;14.3;123;23.4;22;49;261;2;47;18;3.4;154;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;11;2.1;0;0
Neuallermöhe;23.330.00;5.289.00;22.7;2.651.00;11.4;4.304.00;15.268.00;9.749.00;2.3;2.976.00;30.5;4.2;5.549.00;10.144.00;62.3;971;6;60;1.9;186;5.2;3.446.00;14.8;4.762.00;50.4
Harburg;26.248.00;4.215.00;16.1;2.778.00;10.6;11.062.00;16.272.00;14.779.00;1.7;2.389.00;16.2;4;6.577.00;11.667.00;58.8;1.611.00;8.1;165;4.2;253;10.3;4.344.00;16.5;1.203.00;9
Neuland;1.818.00;423;23.3;272;15;601;877;718;2.1;161;22.4;10.1;181;645;54.8;85;7.2;16;7.6;.    ;.    ;305;16.8;0;0
Wilstorf;17.436.00;3.220.00;18.5;3.204.00;18.4;4.775.00;8.621.00;9.388.00;1.9;1.845.00;19.7;3.4;5.094.00;7.156.00;62.4;852;7.4;83;4.5;134;6.1;2.375.00;13.6;742;8.5
Rönneburg;3.425.00;680;19.9;628;18.3;783;1.444.00;1.551.00;2.1;352;22.7;2.2;1.524.00;1.325.00;59.3;106;4.7;.    ;.    ;25;5;309;9;72;5
Langenbek;4.017.00;655;16.3;975;24.3;519;1.468.00;2.005.00;2;404;20.1;0.8;5.062.00;1.558.00;62.6;84;3.4;.    ;.    ;21;2.9;245;6.1;217;11.5
Sinstorf;4.261.00;1.011.00;23.7;642;15.1;1.136.00;2.018.00;1.738.00;2.2;449;25.8;2.5;1.693.00;1.631.00;59.4;166;6;18;3.8;29;5.9;679;15.9;128;7.8
Marmstorf;8.980.00;1.461.00;16.3;2.417.00;26.9;1.224.00;2.857.00;4.620.00;2;882;19.1;5.8;1.537.00;3.360.00;62.7;212;4;19;2.2;43;3.2;495;5.5;142;3.3
Eißendorf;24.780.00;4.280.00;17.3;4.880.00;19.7;5.314.00;10.723.00;13.157.00;1.9;2.551.00;19.4;8.3;2.972.00;10.169.00;62.4;885;5.4;77;2.7;160;4.9;2.391.00;9.6;546;4.4
Heimfeld;22.255.00;3.809.00;17.1;3.398.00;15.3;5.877.00;10.672.00;12.225.00;1.8;2.243.00;18.3;13;1.711.00;9.651.00;61.7;989;6.3;94;3.4;168;6.6;2.544.00;11.4;1.849.00;17.3
Moorburg;714;128;17.9;118;16.5;70;135;405;1.8;72;17.8;16.7;43;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;62;8.7;0;0
Hausbruch;16.753.00;3.198.00;19.1;3.493.00;20.8;2.906.00;9.268.00;7.730.00;2.1;1.861.00;24.1;9.8;1.703.00;6.454.00;60.7;792;7.5;67;3.5;183;7.1;2.261.00;13.5;1.104.00;15.1
Neugraben-Fischbek;33.126.00;7.209.00;21.8;6.256.00;18.9;6.451.00;16.288.00;15.250.00;2.2;3.952.00;25.9;22.5;1.471.00;12.497.00;60.3;1.445.00;7;117;3.3;252;6.2;4.193.00;12.7;1.107.00;7.7
Francop;721;113;15.7;132;18.3;117;160;362;2;69;19.1;8.8;82;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;26;3.6;0;0
Neuenfelde;5.108.00;1.226.00;24;735;14.4;1.674.00;2.657.00;2.259.00;2.2;567;25.1;15.7;326;1.903.00;57.2;302;9.1;28;4.7;40;6.8;872;17.1;309;15.3
Cranz;840;134;16;151;18;228;362;473;1.8;80;16.9;1.3;630;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;97;11.5;0;0
Hamburg-Mitte;300.277.00;48.876.00;16.3;43.040.00;14.3;83.784.00;152.496.00;165.463.00;1.8;27.941.00;16.9;142.3;2.111.00;127.638.00;59.1;15.681.00;7.3;1.238.00;3.6;2.733.00;7.5;44.305.00;14.8;21.136.00;14.1
Altona;275.011.00;49.545.00;18;49.402.00;18;45.179.00;93.761.00;148.536.00;1.8;29.435.00;19.8;77.9;3.530.00;107.611.00;58.5;9.855.00;5.4;565;2.1;2.022.00;5.6;23.188.00;8.4;9.166.00;6.5
Eimsbüttel;269.964.00;42.274.00;15.7;50.383.00;18.7;40.152.00;82.382.00;154.887.00;1.7;26.108.00;16.9;49.8;5.420.00;115.487.00;63;8.336.00;4.5;518;2.1;1.773.00;5.2;16.326.00;6;5.887.00;4
Hamburg-Nord;315.929.00;44.213.00;14;50.735.00;16.1;45.604.00;93.700.00;193.357.00;1.6;27.723.00;14.3;57.8;5.469.00;148.594.00;65.5;9.993.00;4.4;561;1.9;2.027.00;5.3;20.307.00;6.4;10.038.00;5.4
Wandsbek;444.037.00;78.040.00;17.6;95.161.00;21.4;67.102.00;152.553.00;230.316.00;1.9;45.708.00;19.8;147.5;3.010.00;173.814.00;61.4;14.912.00;5.3;1.111.00;2.5;3.209.00;5.2;39.819.00;9;16.499.00;7.5
Bergedorf;130.711.00;23.917.00;18.3;24.831.00;19;20.011.00;51.865.00;63.248.00;2;13.633.00;21.6;154.7;845;54.164.00;63.2;4.161.00;4.9;280;2;911;4.9;12.415.00;9.5;7.724.00;12.7
Harburg;170.482.00;31.762.00;18.6;30.079.00;17.6;42.737.00;83.822.00;86.660.00;1.9;17.877.00;20.6;125.1;1.363.00;68.990.00;60.8;7.639.00;6.7;710;3.6;1.325.00;6.2;21.198.00;12.4;7.419.00;9.3
